NodeID_1,intersection
0000447,Arthur Kill Road and North Branch Street
0000448,Windward Court and Allentown Lane
0000449,Allentown Lane at Veterans Road West and Arthur Kill Road
0000453,Kreischer Street and Arthur Kill Road
0000454,Winant Place
0000455,Androvette Street and Kreischer Street
0000457,Winant Place and Kreischer Street
0000463,West Shore Parkway and West Shore Parkway En Outerbridge
0000464,West Shore Parkway and West Shore Exwy Sb Exit 1
0000465,West Shore Parkway and Veterans Road West
0000469,Arthur Kill Road and Englewood Avenue
0000470,Gaton Street
0000010,Wards Pt Avenue
0000011,Canter Avenue
0000013,Shore Road
0000014,Wards Pt Avenue and Perth Amboy Place
0000015,Forshay Street
0000016,Wards Pt Avenue
0000017,Forshay Street and Satterlee Street
0000018,Shore Road and Satterlee Street
0000019,Perth Amboy Place and Satterlee Street
0000021,Amboy Road
0000022,Wards Pt Avenue and Tottenville Place
0000023,Amboy Road at Wards Pt Avenue and Aviva Court
0000025,Amboy Road and Hopping Avenue
0000026,Satterlee Street and Tottenville Place
0000027,Amboy Road and Satterlee Street
0000030,Arthur Kill Road
0000032,Bentley Street
0000037,Moon Avenue and Nichols Court
0000038,Moon Avenue and Billop Avenue
0000041,Wards Pt Avenue and Federal Court
0000042,Moon Avenue and Mc Donald Court
0000043,Moon Avenue and Clermont Court
0000044,Federal Court and Canter Avenue
0000046,Craig Avenue and Federal Court
0000047,"Clermont Court at Surf Avenue, Massachusetts Street South and Clermont Avenue"
0000048,Massachusetts Street South
0000049,Nichols Court and Surf Avenue
0000050,Mc Donald Court and Surf Avenue
0000051,Satterlee Street and Hylan Boulevard
0000052,Hylan Boulevard and Craig Avenue
0000053,Craig Avenue and Satterlee Street
0000054,Massachusetts Street and Hylan Boulevard
0000055,Connecticut Street and Hylan Boulevard
0000056,Craig Avenue and Shore Road
0000057,Shore Road and Bryan Street
0000058,Massachusetts Street
0000059,Shore Road and Connecticut Street
0000060,Connecticut Street
0000061,Finlay Street
0000062,Shore Road and Finlay Street
0000063,Craig Avenue and Summit Road
0000064,Amboy Road and Craig Avenue
0000065,Summit Road and Bryan Street
0000066,Summit Road and Connecticut Street
0000067,Connecticut Street and Amboy Road
0000068,Craig Avenue and Patten Street
0000069,Amboy Road and Finlay Street
0000070,Finlay Street and Summit Road
0000071,Amboy Road and Aspinwall Street
0000072,Aspinwall Street and Summit Road
0000073,Amboy Road and Bentley Street
0000074,Patten Street and Hopping Avenue
0000075,Arthur Kill Road and Bentley Street
0000076,Earley Place and Bentley Street
0000077,Bentley Street and Hopping Avenue
0000078,Lafayette Street and Arthur Kill Road
0000079,Butler Avenue and Arthur Kill Road
0000080,Craig Avenue and Bentley Street
0000081,Lafayette Street and Earley Place
0000083,Butler Avenue and Lafayette Street
0000084,Butler Avenue and Bentley Lane
0000085,Craig Avenue and Butler Avenue
0000092,Ellis Street
0000093,Main Street and Utah Street
0000094,Conference Court and Main Street
0000096,Main Street and Arthur Kill Road
0000098,Tyrrell Street and Utah Street
0000099,Tyrrell Street and Utah Street
0000101,Utah Street and Johnson Avenue
0000102,Billop Avenue and Surf Avenue
0000112,Clermont Avenue and Connecticut Street
0000113,Clermont Avenue and Finlay Street
0000114,Clermont Avenue and Aspinwall Street
0000116,Finlay Street and Hylan Boulevard
9033399,White Plains Road and Bronx River Avenue
0000117,Hylan Boulevard and Aspinwall Street
0000118,Hylan Boulevard and Carteret Street
0000119,Clermont Avenue and Carteret Street
0000120,Hylan Boulevard and Swinnerton Street
0000121,Aspinwall Street and Shore Road
0000122,Pittsville Avenue
0000123,Carteret Street and Pittsville Avenue
0000124,Swinnerton Street and Pittsville Avenue
0000125,Main Street and Pittsville Avenue
0000140,Girard Street
0000144,Arthur Kill Road and Girard Street
0000146,Arthur Kill Road and Yetman Avenue
0000147,Meagan Loop and Arthur Kill Road
0000148,Arthur Kill Road and Lee Avenue
0000150,Arthur Kill Road at Wood Avenue and Meagan Loop
0000166,Billop Avenue and Swinnerton Street
0000167,Billop Avenue and Main Street
